Название	Цена	Система размораживания холодильной камеры	Количество камер	Количество дверей	Инверторный компрессор	Размеры (Ширина)	Размеры (Высота)	Размеры (Глубина)	Тип_Винный шкаф	Тип_Холодильная витрина	Тип_Холодильник	Расположение морозильной камеры_отсутствует	Расположение морозильной камеры_сбоку	Расположение морозильной камеры_сверху	Расположение морозильной камеры_слева	Расположение морозильной камеры_снизу	Класс энергопотребления_A	Класс энергопотребления_A+	Класс энергопотребления_A++	Класс энергопотребления_B	Класс энергопотребления_C	Класс энергопотребления_E	Класс энергопотребления_F	Класс энергопотребления_G
Холодильник двухкамерный Indesit ITR 4180 W Total No Frost, белый	0.06523924584207834	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8203125	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный KUPPERSBERG NMFV 18591 C Side by Side, кремовый/бронзовый	0.609238258170338	No Frost	0.6666666666666666	0.6	0.0	0.8738379814077025	0.8203125	0.8372065589241477	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LG GC-B509SQCL инверторный белый	0.1265630787139103	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9140625	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 121 W белый	0.04790207940175312	капельное	0.3333333333333333	0.2	0.0	0.42231075697211157	0.6380208333333334	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit ITR 5200 W Total No Frost, белый	0.06523924584207834	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8776041666666666	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный MAUNFELD MFF50B DeFrost, черный	0.027160972856664137	ручное	0.0	0.0	0.0	0.28950863213811423	0.11510416666666667	0.44437890763241716	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Бирюса Б-70 белый	0.02171114128996984	ручное	0.0	0.0	0.0	0.25630810092961487	0.18489583333333334	0.5186976524713932	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный LEX LSB458StGIDBI Side by Side, инверторный серый	0.23457027460801777	No Frost	0.6666666666666666	0.6	1.0	0.7861885790172644	0.8192708333333334	0.6225079627226613	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LG GC-B459SLCL инверторный графит	0.11795622497751283	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.8255208333333334	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 161NF B черный	0.06836099402105857	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.7546875000000001	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
